,NU_ANO_CENSO,SG_UF,yhat_adjusted,QT_VG_TOTAL,error_percentage,rolling_yhat_adjusted,MA_yhat_adjusted
327,2021,BA,5015.458801424623,5034,0.36831939959032906,4276.09,4285.42
328,2021,CE,1388.8656275697108,1394,0.3683193995903303,1328.46,1343.13
329,2021,DF,759.1934061751217,762,0.36831939959032695,701.47,712.58
330,2021,ES,976.3904698840148,980,0.36831939959032595,904.24,927.7
331,2021,GO,2905.2598063079463,2916,0.3683193995903192,2456.89,2774.98
332,2021,MA,822.9576817593838,826,0.3683193995903352,756.98,757.9
333,2021,MG,6247.90269045169,6271,0.36831939959032955,5990.88,6042.62
334,2021,MS,701.407031426884,704,0.3683193995903364,641.92,725.43
335,2021,MT,674.5064776647735,677,0.36831939959033144,620.85,653.45
336,2021,PA,1407.7956468837888,1413,0.3683193995903201,1142.54,1236.0
337,2021,PB,1617.022176144649,1623,0.3683193995903304,1378.47,1432.26
338,2021,PE,2163.003785834894,2171,0.36831939959031834,1993.54,2116.45
339,2021,PI,1376.9098258976614,1382,0.36831939959034377,1123.68,1199.45
340,2021,PR,2766.7717702733767,2777,0.3683193995903255,2695.49,2745.08
341,2021,RJ,5048.337256022758,5067,0.36831939959032794,4645.23,4846.92
342,2021,RN,675.5027944707775,678,0.3683193995903347,734.63,697.13
343,2021,RO,755.2081389511053,758,0.3683193995903301,842.98,836.78
344,2021,RR,112.58379907846292,113,0.36831939959033894,111.94,111.95
345,2021,RS,2173.963270700939,2182,0.3683193995903245,2100.19,2103.69
346,2021,SC,2041.453135502394,2049,0.36831939959034,1892.0,2059.99
347,2021,SE,430.4088601937698,432,0.368319399590328,394.7,404.73
348,2021,SP,11303.214164116476,11345,0.3683193995903372,10466.73,10870.0
349,2021,TO,1129.8232580086458,1134,0.3683193995903192,996.72,1058.63
350,2022,AC,393.37438125923035,400,1.656404685192413,369.45,418.87
351,2022,AL,562.5253652006993,572,1.6564046851924303,580.46,560.73
352,2022,AM,817.235277066051,831,1.6564046851924155,700.83,738.9
353,2022,AP,59.00615718888456,60,1.6564046851924037,58.79,59.39
354,2022,BA,5035.192080118149,5120,1.6564046851924097,4535.34,5025.33
355,2022,CE,1705.2779427587634,1734,1.6564046851924221,1463.85,1547.07
356,2022,DF,710.0407581729108,722,1.6564046851924041,711.74,734.62
357,2022,ES,990.3200048201124,1007,1.6564046851924086,948.57,983.36
358,2022,GO,2634.624918483695,2679,1.656404685192416,2728.2,2769.94
359,2022,MA,1315.8373053121256,1338,1.6564046851924037,943.88,1069.4
360,2022,MG,6302.841023726019,6409,1.6564046851924068,6129.36,6275.37
361,2022,MS,836.9039961290126,851,1.6564046851924057,762.59,769.16
362,2022,MT,936.2310273969682,952,1.6564046851924146,747.71,805.37
363,2022,PA,1556.779113833404,1583,1.6564046851924241,1342.93,1482.29
364,2022,PB,1499.7398285508157,1525,1.6564046851924148,1454.75,1558.38
365,2022,PE,2606.105275842401,2650,1.6564046851924086,2279.67,2384.55
366,2022,PI,1696.4270191804308,1725,1.6564046851924197,1365.11,1536.67
367,2022,PR,2848.0305203168277,2896,1.6564046851924124,2779.4,2807.4
368,2022,RJ,4800.150887315759,4881,1.656404685192398,4831.33,4924.24
369,2022,RN,712.991066032355,725,1.6564046851924166,702.42,694.25
370,2022,RO,1199.7918628406526,1220,1.656404685192411,957.78,977.5
371,2022,RR,113.09513461202873,115,1.656404685192409,112.33,112.84
372,2022,RS,2348.445056117605,2388,1.6564046851924221,2185.28,2261.2
373,2022,SC,2288.4554629755726,2327,1.6564046851924121,2136.15,2164.95
374,2022,SE,463.1983339327437,471,1.6564046851924186,424.22,446.8
375,2022,SP,12363.75680297761,12572,1.6564046851924097,11367.92,11833.49
376,2022,TO,939.1813352564124,955,1.656404685192424,1018.82,1034.5
